GEO_ID,NAME,Median_value
310M400US29300,"LaGrange, GA Micro Area",150000
310M400US30860,"Logan, UT-ID Metro Area",250800
310M400US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",658600
310M400US41100,"St. George, UT Metro Area",324800
310M400US44060,"Spokane-Spokane Valley, WA Metro Area",244600
310M400US44100,"Springfield, IL Metro Area",155500
310M400US44620,"Stevens Point, WI Micro Area",186800
310M400US44660,"Stillwater, OK Micro Area",163100
310M400US19180,"Danville, IL Metro Area",88900
310M400US20100,"Dover, DE Metro Area",246800
310M400US20500,"Durham-Chapel Hill, NC Metro Area",256800
310M400US21820,"Fairbanks, AK Metro Area",260900
310M400US27060,"Ithaca, NY Metro Area",239300
310M400US27620,"Jefferson City, MO Metro Area",155500
310M400US27900,"Joplin, MO Metro Area",129000
310M400US29100,"La Crosse-Onalaska, WI-MN Metro Area",187100
310M400US29820,"Las Vegas-Henderson-Paradise, NV Metro Area",293200
310M400US34620,"Muncie, IN Metro Area",110200
310M400US35660,"Niles-Benton Harbor, MI Metro Area",165200
310M400US37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",626100
310M400US40660,"Rome, GA Metro Area",153300
310M400US41860,"San Francisco-Oakland-Hayward, CA Metro Area",923200
310M400US43060,"Shawnee, OK Micro Area",152900
310M400US10740,"Albuquerque, NM Metro Area",203000
310M400US12020,"Athens-Clarke County, GA Metro Area",213100
310M400US13220,"Beckley, WV Metro Area",114300
310M400US15180,"Brownsville-Harlingen, TX Metro Area",105600
310M400US17220,"Clarksburg, WV Micro Area",144400
310M400US18300,"Coos Bay, OR Micro Area",215500
310M400US19740,"Denver-Aurora-Lakewood, CO Metro Area",426300
310M400US20260,"Duluth, MN-WI Metro Area",167000
310M400US22660,"Fort Collins, CO Metro Area",404400
310M400US27740,"Johnson City, TN Metro Area",168000
310M400US33140,"Michigan City-La Porte, IN Metro Area",133800
310M400US39060,"Pottsville, PA Micro Area",120700
310M400US41700,"San Antonio-New Braunfels, TX Metro Area",203200
310M400US41900,"San Germán, PR Metro Area",105700
310M400US43100,"Sheboygan, WI Metro Area",166900
310M400US43140,"Shelby, NC Micro Area",144500
310M400US44300,"State College, PA Metro Area",250700
310M400US46300,"Twin Falls, ID Metro Area",184200
310M400US47580,"Warner Robins, GA Metro Area",147400
310M400US11260,"Anchorage, AK Metro Area",310900
310M400US12620,"Bangor, ME Metro Area",160900
310M400US17340,"Clearlake, CA Micro Area",244600
310M400US18180,"Concord, NH Micro Area",246300
310M400US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",243300
310M400US22420,"Flint, MI Metro Area",136500
310M400US22900,"Fort Smith, AR-OK Metro Area",128200
310M400US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",205900
310M400US25260,"Hanford-Corcoran, CA Metro Area",240200
310M400US27260,"Jacksonville, FL Metro Area",221100
310M400US30620,"Lima, OH Metro Area",123400
310M400US36980,"Owensboro, KY Metro Area",142800
310M400US38820,"Port Angeles, WA Micro Area",285800
310M400US39900,"Reno, NV Metro Area",366900
310M400US44340,"Statesboro, GA Micro Area",165700
310M400US49620,"York-Hanover, PA Metro Area",189400
310M400US11540,"Appleton, WI Metro Area",187400
310M400US11900,"Athens, OH Micro Area",152800
310M400US17300,"Clarksville, TN-KY Metro Area",175500
310M400US18140,"Columbus, OH Metro Area",207700
310M400US21780,"Evansville, IN-KY Metro Area",149000
310M400US24860,"Greenville-Anderson-Mauldin, SC Metro Area",185300
310M400US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",174900
310M400US27460,"Jamestown-Dunkirk-Fredonia, NY Micro Area",93500
310M400US29420,"Lake Havasu City-Kingman, AZ Metro Area",206200
310M400US31140,"Louisville/Jefferson County, KY-IN Metro Area",186300
310M400US31860,"Mankato-North Mankato, MN Metro Area",204600
310M400US33500,"Minot, ND Micro Area",211200
310M400US36500,"Olympia-Tumwater, WA Metro Area",324800
310M400US36540,"Omaha-Council Bluffs, NE-IA Metro Area",186600
310M400US38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",277900
310M400US38540,"Pocatello, ID Metro Area",170700
310M400US40140,"Riverside-San Bernardino-Ontario, CA Metro Area",380800
310M400US46020,"Truckee-Grass Valley, CA Micro Area",473500
310M400US46060,"Tucson, AZ Metro Area",201200
310M400US10180,"Abilene, TX Metro Area",148000
310M400US10580,"Albany-Schenectady-Troy, NY Metro Area",226000
310M400US11100,"Amarillo, TX Metro Area",160900
310M400US11460,"Ann Arbor, MI Metro Area",289300
310M400US12100,"Atlantic City-Hammonton, NJ Metro Area",225500
310M400US14100,"Bloomsburg-Berwick, PA Metro Area",173400
310M400US15680,"California-Lexington Park, MD Metro Area",315300
310M400US20940,"El Centro, CA Metro Area",226700
310M400US21300,"Elmira, NY Metro Area",119700
310M400US27180,"Jackson, TN Metro Area",140200
310M400US28580,"Key West, FL Micro Area",495600
310M400US39340,"Provo-Orem, UT Metro Area",333800
310M400US43300,"Sherman-Denison, TX Metro Area",185800
310M400US44180,"Springfield, MO Metro Area",153300
310M400US48980,"Wilson, NC Micro Area",135900
310M400US49220,"Wisconsin Rapids-Marshfield, WI Micro Area",136200
